IP Address,DNS Name,Repository,Crit.,High,Med.,Low
10.24.0.1,proxy-summit-00001.assets.local,BRA-WAREHOUSE-SVC,17,1,5,4
10.24.0.2,report-pixel-00002.assets.local,ALP-REPORT-SYS,17,1,2,5
10.24.0.3,api-summit-00003.labs.local,ALP-ORDER-OPS,27,2,2,1
10.24.0.4,int-falcon-00004.assets.local,BRA-DATA-APP,20,2,1,2
10.24.0.5,node-foxtrot-00005.corp.local,ALP-NOTIFY-SVC,24,2,4,5
10.24.0.6,db-delta-00006.corp.local,BRA-POSTGRES-APP,12,4,2,1
10.24.0.7,worker-quartz-00007.example.internal,BRA-ANALYTICS-APP,23,4,3,2
10.24.0.8,proxy-nova-00008.example.internal,BRA-KAFKA-SVC,25,3,1,5
10.24.0.9,cache-quartz-00009.corp.local,CHA-MAIL-OPS,7,4,5,1
10.24.0.10,portal-echo-00010.assets.local,BRA-ANALYTICS-APP,27,5,4,1
10.24.0.11,api-orion-00011.assets.local,ALP-API-APP,18,4,4,3
10.24.0.12,db-charlie-00012.ops.local,BRA-ANALYTICS-APP,20,3,4,4
10.24.0.13,api-harbor-00013.assets.local,LEG-LEGACY-HR-OPS,21,4,4,5
10.24.0.14,node-alpha-00014.example.internal,LEG-LEGACY-ERP-OPS,28,3,3,2
10.24.0.15,worker-quartz-00015.test.internal,LEG-LEGACY-CRM-SVC,12,4,4,5
10.24.0.16,edge-nova-00016.labs.local,ALP-NOTIFY-SVC,30,3,5,5
10.24.0.17,svc-alpha-00017.ops.local,ALP-API-APP,18,4,4,4
10.24.0.18,worker-harbor-00018.example.internal,BRA-MONGO-SVC,9,2,3,5
10.24.0.19,api-charlie-00019.assets.local,BRA-WAREHOUSE-SVC,21,5,3,4
10.24.0.20,report-vector-00020.ops.local,CHA-DNS-APP,30,5,4,5
10.24.0.21,db-cedar-00021.example.internal,BRA-DATA-APP,15,3,5,3
10.24.0.22,etl-nova-00022.test.internal,ALP-SEARCH-APP,9,1,4,2
10.24.0.23,app-quartz-00023.assets.local,CHA-EDGE-SVC,11,4,2,2
10.24.0.24,db-falcon-00024.assets.local,BRA-KAFKA-SVC,30,4,5,1
10.24.0.25,dmz-pixel-00025.test.internal,BRA-REDIS-OPS,6,2,4,3
10.24.0.26,etl-alpha-00026.example.internal,CHA-EDGE-SVC,13,1,3,1
10.24.0.27,proxy-nova-00027.ops.local,LEG-LEGACY-ERP-OPS,28,5,5,5
10.24.0.28,node-charlie-00028.labs.local,LEG-LEGACY-IDM-APP,16,4,4,4
10.24.0.29,edge-alpha-00029.assets.local,LEG-LEGACY-CRM-SVC,16,5,4,4
10.24.0.30,portal-matrix-00030.corp.local,CHA-PROXY-SYS,30,2,4,3
10.24.0.31,node-cedar-00031.example.internal,ALP-PAY-OPS,18,4,4,2
10.24.0.32,auth-summit-00032.corp.local,ALP-WEB-OPS,18,5,4,4
10.24.0.33,etl-delta-00033.ops.local,ALP-WEB-OPS,13,5,5,4
10.24.0.34,report-echo-00034.ops.local,ALP-BILLING-SYS,3,2,3,5
10.24.0.35,app-matrix-00035.corp.local,BRA-MONGO-SVC,8,2,3,3
10.24.0.36,auth-pixel-00036.assets.local,ALP-API-APP,30,5,4,5
10.24.0.37,mon-zenith-00037.ops.local,CHA-PROXY-SYS,30,5,3,3
10.24.0.38,cache-zenith-00038.ops.local,BRA-POSTGRES-APP,14,1,3,4
