afgahg,Plugin Name,DNS Name,dfg,IP Address,Repository,Severity
EOL-722864,CentOS Linux SEoL (4.x),edge-raven-14394.test.internal,EOL-4700,10.24.56.58,CHA-MAIL-OPS,Critical
EOL-279415,CentOS Linux SEoL (4.x),app-atlas-12708.example.internal,EOL-5445,10.24.49.164,CHA-MAIL-OPS,High
EOL-938781,CentOS Linux SEoL (5.x),svc-cedar-17948.ops.local,EOL-5469,10.24.70.28,CHA-MAIL-OPS,High
EOL-908444,CentOS Linux SEoL (5.x),jump-bravo-18284.example.internal,EOL-8735,10.24.71.108,CHA-MAIL-OPS,Critical
EOL-152882,CentOS Linux SEoL (3.x),proxy-raven-08157.corp.local,EOL-9187,10.24.31.221,CHA-MAIL-OPS,High
EOL-715153,Oracle Linux SEoL (6.x),app-vector-14943.ops.local,EOL-9879,10.24.58.95,CHA-MAIL-OPS,High
EOL-918997,Ubuntu Linux SEoL (16.04),queue-summit-07115.corp.local,EOL-7712,10.24.27.203,CHA-MAIL-OPS,High
EOL-394739,CentOS Linux SEoL (5.x),svc-harbor-13536.example.internal,EOL-5485,10.24.52.224,CHA-MAIL-OPS,High
EOL-866580,Ubuntu Linux SEoL (16.04),proxy-atlas-04373.example.internal,EOL-5892,10.24.17.21,CHA-MAIL-OPS,Critical
EOL-622306,CentOS Linux SEoL (3.x),edge-charlie-03791.example.internal,EOL-5831,10.24.14.207,CHA-MAIL-OPS,High
EOL-946228,Oracle Linux SEoL (6.x),etl-harbor-09759.test.internal,EOL-2472,10.24.38.31,CHA-MAIL-OPS,High
EOL-319770,Windows Server SEoL (2012 R2),db-vector-13690.example.internal,EOL-8974,10.24.53.122,CHA-MAIL-OPS,Critical
EOL-572670,Oracle Linux SEoL (6.x),app-atlas-12976.labs.local,EOL-3928,10.24.50.176,CHA-MAIL-OPS,Critical
EOL-858942,Windows Server SEoL (2008 R2),db-alpha-18162.labs.local,EOL-7752,10.24.70.242,CHA-MAIL-OPS,High
EOL-430876,Windows Server SEoL (2008 R2),portal-matrix-16272.labs.local,EOL-7928,10.24.63.144,CHA-MAIL-OPS,Critical
EOL-197953,Ubuntu Linux SEoL (16.04),portal-cedar-01388.test.internal,EOL-1997,10.24.5.108,CHA-MAIL-OPS,Critical
EOL-792689,Ubuntu Linux SEoL (14.04),api-matrix-19776.test.internal,EOL-5468,10.24.77.64,CHA-MAIL-OPS,High
EOL-425607,CentOS Linux SEoL (4.x),cache-falcon-12058.test.internal,EOL-4648,10.24.47.26,CHA-MAIL-OPS,Critical
EOL-682378,Windows Server SEoL (2012 R2),node-matrix-00451.example.internal,EOL-1852,10.24.1.195,CHA-MAIL-OPS,Critical
EOL-907492,Ubuntu Linux SEoL (16.04),mon-delta-01111.ops.local,EOL-3863,10.24.4.87,CHA-MAIL-OPS,Critical
EOL-585198,Ubuntu Linux SEoL (14.04),app-quartz-07102.ops.local,EOL-9570,10.24.27.190,CHA-MAIL-OPS,High
EOL-322492,CentOS Linux SEoL (5.x),portal-zenith-02933.assets.local,EOL-4976,10.24.11.117,CHA-MAIL-OPS,Critical
EOL-824054,Ubuntu Linux SEoL (14.04),web-ember-17898.labs.local,EOL-9687,10.24.69.234,CHA-MAIL-OPS,Critical
EOL-431257,Red Hat Enterprise Linux SEoL (6.x),worker-quartz-12978.corp.local,EOL-8551,10.24.50.178,CHA-MAIL-OPS,Critical
EOL-228969,Oracle Linux SEoL (6.x),portal-matrix-00089.corp.local,EOL-9908,10.24.0.89,CHA-MAIL-OPS,High
EOL-658509,Windows Server SEoL (2012 R2),edge-harbor-01404.example.internal,EOL-1740,10.24.5.124,CHA-MAIL-OPS,High
EOL-918243,Ubuntu Linux SEoL (14.04),portal-harbor-00357.assets.local,EOL-6803,10.24.1.101,CHA-MAIL-OPS,High
EOL-266553,Ubuntu Linux SEoL (16.04),cache-summit-01940.example.internal,EOL-5406,10.24.7.148,CHA-MAIL-OPS,Critical
EOL-123640,Red Hat Enterprise Linux SEoL (6.x),web-falcon-02740.assets.local,EOL-4639,10.24.10.180,CHA-MAIL-OPS,High
EOL-277906,Windows Server SEoL (2012 R2),worker-falcon-01766.test.internal,EOL-4192,10.24.6.230,CHA-MAIL-OPS,Critical
EOL-371443,CentOS Linux SEoL (3.x),db-ember-14041.assets.local,EOL-9470,10.24.54.217,CHA-MAIL-OPS,High
EOL-401632,Windows Server SEoL (2012 R2),svc-foxtrot-11472.labs.local,EOL-7105,10.24.44.208,CHA-MAIL-OPS,Critical
EOL-683204,Windows Server SEoL (2012 R2),app-vector-08510.ops.local,EOL-6625,10.24.33.62,CHA-MAIL-OPS,High
EOL-270247,Ubuntu Linux SEoL (14.04),node-raven-09984.test.internal,EOL-9077,10.24.39.254,CHA-MAIL-OPS,High
EOL-530539,Oracle Linux SEoL (6.x),mon-zenith-08954.ops.local,EOL-9441,10.24.34.250,CHA-MAIL-OPS,High
EOL-581414,CentOS Linux SEoL (5.x),svc-atlas-12329.labs.local,EOL-5534,10.24.48.41,CHA-MAIL-OPS,Critical
EOL-307633,Windows Server SEoL (2012 R2),worker-matrix-03159.ops.local,EOL-4658,10.24.12.87,CHA-MAIL-OPS,Critical
EOL-142921,CentOS Linux SEoL (4.x),jump-falcon-03837.labs.local,EOL-8972,10.24.14.253,CHA-MAIL-OPS,Critical
EOL-590900,Ubuntu Linux SEoL (16.04),batch-harbor-16477.ops.local,EOL-6392,10.24.64.93,CHA-MAIL-OPS,Critical
EOL-385837,Ubuntu Linux SEoL (14.04),api-zenith-18502.ops.local,EOL-4949,10.24.72.70,CHA-MAIL-OPS,High
EOL-396102,CentOS Linux SEoL (3.x),cache-zenith-00359.example.internal,EOL-4178,10.24.1.103,CHA-MAIL-OPS,Critical
EOL-130740,Red Hat Enterprise Linux SEoL (6.x),db-alpha-03045.labs.local,EOL-2709,10.24.11.229,CHA-MAIL-OPS,Critical
EOL-910285,Ubuntu Linux SEoL (14.04),dmz-summit-15887.example.internal,EOL-4066,10.24.62.15,CHA-MAIL-OPS,High
EOL-242014,Ubuntu Linux SEoL (16.04),web-orion-11450.example.internal,EOL-9649,10.24.44.186,CHA-MAIL-OPS,Critical
EOL-379556,Ubuntu Linux SEoL (16.04),report-pixel-14747.corp.local,EOL-3187,10.24.57.155,CHA-MAIL-OPS,High
EOL-764884,Ubuntu Linux SEoL (16.04),int-pixel-14977.corp.local,EOL-7749,10.24.58.129,CHA-MAIL-OPS,High
EOL-297960,CentOS Linux SEoL (3.x),web-charlie-13033.assets.local,EOL-4051,10.24.50.233,CHA-MAIL-OPS,High
EOL-184957,Windows Server SEoL (2012 R2),etl-alpha-12765.example.internal,EOL-3853,10.24.49.221,CHA-MAIL-OPS,High
EOL-789457,Windows Server SEoL (2012 R2),api-matrix-06820.ops.local,EOL-3107,10.24.26.164,CHA-MAIL-OPS,High
EOL-352906,CentOS Linux SEoL (3.x),etl-raven-17474.test.internal,EOL-7581,10.24.68.66,CHA-MAIL-OPS,Critical
EOL-192286,Windows Server SEoL (2008 R2),svc-summit-04612.labs.local,EOL-6381,10.24.18.4,CHA-MAIL-OPS,High
EOL-962483,CentOS Linux SEoL (3.x),auth-quartz-16826.assets.local,EOL-4041,10.24.65.186,CHA-MAIL-OPS,High
EOL-795309,Ubuntu Linux SEoL (14.04),mon-quartz-19371.corp.local,EOL-3485,10.24.75.171,CHA-MAIL-OPS,High
EOL-795399,Oracle Linux SEoL (6.x),edge-delta-13360.ops.local,EOL-9182,10.24.52.48,CHA-MAIL-OPS,High
EOL-596905,Windows Server SEoL (2012 R2),app-atlas-12950.test.internal,EOL-2772,10.24.50.150,CHA-MAIL-OPS,High
EOL-864854,CentOS Linux SEoL (3.x),dmz-zenith-18265.corp.local,EOL-9185,10.24.71.89,CHA-MAIL-OPS,High
EOL-383262,Ubuntu Linux SEoL (16.04),dmz-pixel-07168.test.internal,EOL-4373,10.24.28.254,CHA-MAIL-OPS,High
EOL-204236,Oracle Linux SEoL (6.x),int-alpha-03790.labs.local,EOL-4786,10.24.14.206,CHA-MAIL-OPS,High
EOL-992479,Red Hat Enterprise Linux SEoL (6.x),db-raven-05159.example.internal,EOL-9644,10.24.20.39,CHA-MAIL-OPS,High
EOL-820283,Oracle Linux SEoL (6.x),queue-delta-11805.assets.local,EOL-7394,10.24.46.29,CHA-MAIL-OPS,Critical
EOL-107202,Windows Server SEoL (2012 R2),svc-pixel-01364.corp.local,EOL-6350,10.24.5.84,CHA-MAIL-OPS,High
EOL-337812,CentOS Linux SEoL (3.x),etl-bravo-12953.labs.local,EOL-3062,10.24.50.153,CHA-MAIL-OPS,High
EOL-168242,Red Hat Enterprise Linux SEoL (6.x),int-falcon-18144.assets.local,EOL-2735,10.24.70.224,CHA-MAIL-OPS,High
EOL-930078,Red Hat Enterprise Linux SEoL (6.x),edge-nova-13845.ops.local,EOL-7341,10.24.54.21,CHA-MAIL-OPS,Critical
EOL-974624,Oracle Linux SEoL (6.x),edge-pixel-08853.example.internal,EOL-5344,10.24.34.149,CHA-MAIL-OPS,High
EOL-331195,Ubuntu Linux SEoL (14.04),edge-matrix-05807.example.internal,EOL-8945,10.24.22.175,CHA-MAIL-OPS,High
EOL-447014,Red Hat Enterprise Linux SEoL (6.x),int-matrix-05197.corp.local,EOL-6732,10.24.20.77,CHA-MAIL-OPS,High
EOL-626274,CentOS Linux SEoL (5.x),report-ember-11077.test.internal,EOL-8434,10.24.43.69,CHA-MAIL-OPS,High
EOL-316413,CentOS Linux SEoL (4.x),auth-pixel-00975.assets.local,EOL-5220,10.24.3.207,CHA-MAIL-OPS,Critical
EOL-742939,Windows Server SEoL (2012 R2),web-echo-13431.example.internal,EOL-1572,10.24.52.119,CHA-MAIL-OPS,Critical
EOL-189697,Oracle Linux SEoL (6.x),app-quartz-01037.assets.local,EOL-8130,10.24.4.13,CHA-MAIL-OPS,Critical
EOL-907721,Windows Server SEoL (2012 R2),portal-charlie-09863.labs.local,EOL-2588,10.24.38.135,CHA-MAIL-OPS,High
EOL-646610,Oracle Linux SEoL (6.x),auth-ember-03707.corp.local,EOL-7712,10.24.14.123,CHA-MAIL-OPS,High
EOL-957657,Windows Server SEoL (2008 R2),batch-matrix-03134.ops.local,EOL-1091,10.24.12.62,CHA-MAIL-OPS,Critical
EOL-927634,Ubuntu Linux SEoL (16.04),mon-delta-12759.test.internal,EOL-9273,10.24.49.215,CHA-MAIL-OPS,High
EOL-303280,Ubuntu Linux SEoL (14.04),cache-echo-14183.assets.local,EOL-1168,10.24.55.103,CHA-MAIL-OPS,High
EOL-659339,Windows Server SEoL (2008 R2),node-alpha-00482.test.internal,EOL-1464,10.24.1.226,CHA-MAIL-OPS,Critical
EOL-352925,Windows Server SEoL (2012 R2),auth-vector-14318.ops.local,EOL-3015,10.24.55.238,CHA-MAIL-OPS,High
EOL-270577,Ubuntu Linux SEoL (14.04),batch-matrix-03333.assets.local,EOL-3418,10.24.13.5,CHA-MAIL-OPS,High
EOL-582873,Ubuntu Linux SEoL (14.04),report-harbor-16425.example.internal,EOL-5692,10.24.64.41,CHA-MAIL-OPS,High
EOL-295795,Oracle Linux SEoL (6.x),batch-cedar-13252.example.internal,EOL-4545,10.24.51.196,CHA-MAIL-OPS,Critical
EOL-642484,Windows Server SEoL (2008 R2),portal-pixel-02027.labs.local,EOL-6234,10.24.7.235,CHA-MAIL-OPS,High
EOL-191921,Ubuntu Linux SEoL (16.04),portal-orion-10514.assets.local,EOL-7228,10.24.41.18,CHA-MAIL-OPS,Critical
EOL-467005,Ubuntu Linux SEoL (16.04),web-foxtrot-10808.test.internal,EOL-1535,10.24.42.56,CHA-MAIL-OPS,High
EOL-578763,Windows Server SEoL (2008 R2),edge-matrix-17902.test.internal,EOL-2843,10.24.69.238,CHA-MAIL-OPS,High
EOL-315534,CentOS Linux SEoL (3.x),queue-echo-08389.ops.local,EOL-2415,10.24.32.197,CHA-MAIL-OPS,High
EOL-532777,Red Hat Enterprise Linux SEoL (6.x),portal-bravo-06292.corp.local,EOL-2622,10.24.24.148,CHA-MAIL-OPS,Critical
EOL-729164,Ubuntu Linux SEoL (16.04),auth-zenith-04451.test.internal,EOL-3908,10.24.17.99,CHA-MAIL-OPS,Critical
EOL-277226,Windows Server SEoL (2008 R2),auth-delta-16110.example.internal,EOL-7687,10.24.62.238,CHA-MAIL-OPS,Critical
EOL-501316,Ubuntu Linux SEoL (14.04),db-charlie-07900.test.internal,EOL-8074,10.24.30.220,CHA-MAIL-OPS,High
EOL-352233,CentOS Linux SEoL (4.x),queue-alpha-07902.ops.local,EOL-5466,10.24.30.222,CHA-MAIL-OPS,High
EOL-304251,Oracle Linux SEoL (6.x),etl-pixel-02267.corp.local,EOL-5119,10.24.8.219,CHA-MAIL-OPS,High
EOL-429761,CentOS Linux SEoL (5.x),queue-harbor-03658.test.internal,EOL-2322,10.24.14.74,CHA-MAIL-OPS,High
EOL-436497,CentOS Linux SEoL (3.x),db-atlas-06600.example.internal,EOL-2333,10.24.25.200,CHA-MAIL-OPS,High
EOL-960693,Oracle Linux SEoL (6.x),dmz-summit-00920.labs.local,EOL-5521,10.24.3.152,CHA-MAIL-OPS,High
EOL-264622,CentOS Linux SEoL (5.x),etl-atlas-13346.example.internal,EOL-9054,10.24.52.34,CHA-MAIL-OPS,High
