AWS Account Id,Severity,Fix Available,Finding Type,Title,Description,Finding ARN,First Seen,Last Seen,Last Updated,Resource ID,Container Image Tags,Region,Platform,Resource Tags,Affected Packages,Package Installed Version,Fixed in Version,Package Remediation,File Path,Network Paths,Age (Days),Remediation,Inspector Score,Inspector Score Vector,Status,VulnerabilityId,Package Names,Vendor,Vendor severity,Vendor Advisory,Vendor Advisory Published,NVD CVSS4 Score,NVD CVSS4 Vector,NVD CVSS3 Score,NVD CVSS3 Vector,NVD CVSS2 Score,NVD CVSS2 Vector,Vendor CVSS4 Score,Vendor CVSS4 Vector,Vendor CVSS3 Score,Vendor CVSS3 Vector,Vendor CVSS2 Score,Vendor CVSS2 Vector,Resource Type,Ami,Resource Public Ipv4,Resource Private Ipv4,Resource Ipv6,Resource Platform,Resource Size,Resource Vpc,Port Range,Epss Score,Exploit Available,Last Exploited At,Lambda Layers,Lambda Package Type,Lambda Last Updated At,Reference Urls,Detector Name,Package Manager,Image Last In Use At,Image In Use Count,Provider,Provider Account Id,Provider Region,VM Image Reference,Image Registry,Image Digest,Serverless Function Name,Serverless Function Runtime
123456789012,MEDIUM,YES,PACKAGE_VULNERABILITY,CVE-2023-34457 - node,node is vulnerable to CVE-2023-34457. A remote attacker could exploit this to compromise the affected container image.,arn:aws:inspector2:eu-west-1:123456789012:finding/ee8ebcd8a2f0a3488fbff7503fe173dd,2026-04-12T02:37:37.000Z,2026-04-16T02:37:37.000Z,2026-04-18T02:37:37.000Z,arn:aws:ecr:eu-west-1:123456789012:repository/notification-service/sha256:64fb15bb31e7feb96db40b9c19b06c60722c919f451eebf83f394410b9475589,v3.2.9,eu-west-1,,Repository=notification-service,node,18.16.0,18.20.3,Rebuild image with updated node package,/app/node_modules/node/package.json,,147,Update node to 18.20.3,4.5,CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:H,ACTIVE,CVE-2023-34457,node,Debian,Medium,Debian-SA-2025-401,2026-04-08T02:37:37.000Z,,,5.1,CVSS:3.1/AV:A/AC:H/PR:N/UI:R/S:C/C:L/I:H/A:L,,,,,4.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:H,,,AWS_ECR_CONTAINER_IMAGE,,,,,,,,,0.80208,NO,,,,,https://www.cve.org/CVERecord?id=CVE-2023-34457,Amazon Inspector container image scan,GEMSPEC,,0,,,,,123456789012.dkr.ecr.eu-west-1.amazonaws.com/notification-service,sha256:64fb15bb31e7feb96db40b9c19b06c60722c919f451eebf83f394410b9475589,,
123456789012,MEDIUM,YES,PACKAGE_VULNERABILITY,CVE-2024-21461 - log4j-core,log4j-core is vulnerable to CVE-2024-21461. A remote attacker could exploit this to compromise the affected container image.,arn:aws:inspector2:eu-west-1:123456789012:finding/0e16833c6d2120613b6a4e01ad1d692c,2026-04-11T09:12:36.000Z,2026-04-11T09:12:36.000Z,2026-04-13T09:12:36.000Z,arn:aws:ecr:eu-west-1:123456789012:repository/monitoring-exporter/sha256:5b232bbda54e36c4808dff767a14ec5c63827a16ea29250220cff7da57e9ed33,sha-d4bced3,eu-west-1,,Repository=monitoring-exporter,log4j-core,2.14.1,2.17.1,Rebuild image with updated log4j-core package,/app/node_modules/log4j-core/package.json,,147,Update log4j-core to 2.17.1,6.4,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:L/I:L/A:L,ACTIVE,CVE-2024-21461,log4j-core,Amazon Linux,Medium,Amazon Linux-SA-2026-30,2026-04-05T09:12:36.000Z,,,6.4,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,,,,,5.9,CVSS:3.1/AV:A/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:N,,,AWS_ECR_CONTAINER_IMAGE,,,,,,,,,0.17075,NO,,,,,https://www.cve.org/CVERecord?id=CVE-2024-21461,Amazon Inspector container image scan,NODEPKG,,0,,,,,123456789012.dkr.ecr.eu-west-1.amazonaws.com/monitoring-exporter,sha256:5b232bbda54e36c4808dff767a14ec5c63827a16ea29250220cff7da57e9ed33,,
123456789012,LOW,YES,PACKAGE_VULNERABILITY,CVE-2024-21872 - libssl3,libssl3 is vulnerable to CVE-2024-21872. A remote attacker could exploit this to compromise the affected container image.,arn:aws:inspector2:us-west-2:123456789012:finding/594cf9cd92d06329f798b2a5b2e2b4c7,2026-04-28T18:02:37.000Z,2026-04-30T18:02:37.000Z,2026-04-30T18:02:37.000Z,arn:aws:ecr:us-west-2:123456789012:repository/monitoring-exporter/sha256:e6855a8d08843b2460c244552a81e0291333945d3495f1cd286d0f92c382ffbb,sha-dcf9076,us-west-2,,Repository=monitoring-exporter,libssl3,3.0.2-0ubuntu1.15,3.0.2-0ubuntu1.16,Rebuild image with updated libssl3 package,/app/node_modules/libssl3/package.json,,130,Update libssl3 to 3.0.2-0ubuntu1.16,3.0,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:L/I:N/A:H,ACTIVE,CVE-2024-21872,libssl3,Alpine,Low,Alpine-SA-2025-98,2026-04-22T18:02:37.000Z,,,1.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:L/A:H,,,,,1.2,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:N/I:L/A:N,,,AWS_ECR_CONTAINER_IMAGE,,,,,,,,,0.75094,NO,,,,,https://www.cve.org/CVERecord?id=CVE-2024-21872,Amazon Inspector container image scan,JAR,,0,,,,,123456789012.dkr.ecr.us-west-2.amazonaws.com/monitoring-exporter,sha256:e6855a8d08843b2460c244552a81e0291333945d3495f1cd286d0f92c382ffbb,,
123456789012,HIGH,NO,PACKAGE_VULNERABILITY,CVE-2022-10207 - jackson-databind,jackson-databind is vulnerable to CVE-2022-10207. A remote attacker could exploit this to compromise the affected container image.,arn:aws:inspector2:us-west-2:123456789012:finding/eae930e38c319247944ba864a3954e8e,2026-06-09T10:20:37.000Z,2026-06-14T10:20:37.000Z,2026-06-16T10:20:37.000Z,arn:aws:ecr:us-west-2:123456789012:repository/image-processor/sha256:186e5d70b3a5984d86a4338b9600c24adbca3db039a03d4643de97dedd3624b0,v3.2.1,us-west-2,,Repository=image-processor,jackson-databind,2.13.1,,None Provided,/app/node_modules/jackson-databind/package.json,,88,None Provided,8.9,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:C/C:N/I:H/A:L,ACTIVE,CVE-2022-10207,jackson-databind,Debian,High,Debian-SA-2025-962,2026-06-03T10:20:37.000Z,,,8.2,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:L,,,,,8.4,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:C/C:H/I:N/A:H,,,AWS_ECR_CONTAINER_IMAGE,,,,,,,,,0.35616,NO,,,,,https://www.cve.org/CVERecord?id=CVE-2022-10207,Amazon Inspector container image scan,NODEPKG,,0,,,,,123456789012.dkr.ecr.us-west-2.amazonaws.com/image-processor,sha256:186e5d70b3a5984d86a4338b9600c24adbca3db039a03d4643de97dedd3624b0,,
123456789012,MEDIUM,YES,PACKAGE_VULNERABILITY,CVE-2022-44580 - bash,bash is vulnerable to CVE-2022-44580. A remote attacker could exploit this to compromise the affected container image.,arn:aws:inspector2:us-west-2:123456789012:finding/9f6e186a8258128989f445c860266a07,2026-03-15T21:26:37.000Z,2026-03-24T21:26:37.000Z,2026-03-27T21:26:37.000Z,arn:aws:ecr:us-west-2:123456789012:repository/session-manager/sha256:aaa0cd3335123d199d6f6f6f0b2364d79bf0a288895c6ae285fefab2a2650ba7,sha-fd76844,us-west-2,,Repository=session-manager,bash,5.0-6ubuntu1.2,5.0-6ubuntu1.3,Rebuild image with updated bash package,/app/node_modules/bash/package.json,,174,Update bash to 5.0-6ubuntu1.3,5.0,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:N/I:H/A:N,ACTIVE,CVE-2022-44580,bash,Alpine,Medium,Alpine-SA-2022-175,2026-03-13T21:26:37.000Z,,,4.3,CVSS:3.1/AV:A/AC:L/PR:H/UI:R/S:C/C:H/I:L/A:H,,,,,4.7,CVSS:3.1/AV:A/AC:H/PR:L/UI:R/S:C/C:N/I:N/A:H,,,AWS_ECR_CONTAINER_IMAGE,,,,,,,,,0.2151,NO,,,,,https://www.cve.org/CVERecord?id=CVE-2022-44580,Amazon Inspector container image scan,GEMSPEC,,0,,,,,123456789012.dkr.ecr.us-west-2.amazonaws.com/session-manager,sha256:aaa0cd3335123d199d6f6f6f0b2364d79bf0a288895c6ae285fefab2a2650ba7,,
234567890123,HIGH,YES,PACKAGE_VULNERABILITY,CVE-2025-46789 - node,node is vulnerable to CVE-2025-46789. A remote attacker could exploit this to compromise the affected container image.,arn:aws:inspector2:us-west-2:234567890123:finding/730e9ddac3e2565f64ff827e72ff0cea,2026-05-01T08:35:36.000Z,2026-05-02T08:35:36.000Z,2026-05-03T08:35:36.000Z,arn:aws:ecr:us-west-2:234567890123:repository/fraud-detector/sha256:ffd85d861e274fa77af6c31b0981c996b21d7bb350db112aa5dd1ac5b69bcdd6,sha-c8b5be7,us-west-2,,Repository=fraud-detector,node,18.16.0,18.20.3,Rebuild image with updated node package,/app/node_modules/node/package.json,,127,Update node to 18.20.3,8.7,CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:L,ACTIVE,CVE-2025-46789,node,Debian,High,Debian-SA-2026-299,2026-04-25T08:35:36.000Z,,,7.3,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:L,,,,,7.8,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:H,,,AWS_ECR_CONTAINER_IMAGE,,,,,,,,,0.07902,NO,,,,,https://www.cve.org/CVERecord?id=CVE-2025-46789,Amazon Inspector container image scan,NODEPKG,,0,,,,,234567890123.dkr.ecr.us-west-2.amazonaws.com/fraud-detector,sha256:ffd85d861e274fa77af6c31b0981c996b21d7bb350db112aa5dd1ac5b69bcdd6,,
123456789012,LOW,NO,PACKAGE_VULNERABILITY,CVE-2022-18850 - libpcre3,libpcre3 is vulnerable to CVE-2022-18850. A remote attacker could exploit this to compromise the affected container image.,arn:aws:inspector2:eu-west-1:123456789012:finding/11f898f732f3f80068bc8caf6f98ccc0,2026-03-01T03:54:36.000Z,2026-03-19T03:54:36.000Z,2026-03-19T03:54:36.000Z,arn:aws:ecr:eu-west-1:123456789012:repository/chat-service/sha256:8a63c49820dcf9af742db158466b880e220e5b0570b0dde38a7763f28eab8255,v3.9.1,eu-west-1,,Repository=chat-service,libpcre3,2:8.39-12build1,,None Provided,/usr/lib/libpcre3/libpcre3.so,,189,None Provided,2.0,CVSS:3.1/AV:A/AC:L/PR:N/UI:R/S:C/C:H/I:N/A:L,ACTIVE,CVE-2022-18850,libpcre3,Amazon Linux,Low,Amazon Linux-SA-2025-270,2026-02-27T03:54:36.000Z,,,1.6,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:L/A:H,,,,,1.6,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:N/I:H/A:H,,,AWS_ECR_CONTAINER_IMAGE,,,,,,,,,0.84971,NO,,,,,https://www.cve.org/CVERecord?id=CVE-2022-18850,Amazon Inspector container image scan,OS,,0,,,,,123456789012.dkr.ecr.eu-west-1.amazonaws.com/chat-service,sha256:8a63c49820dcf9af742db158466b880e220e5b0570b0dde38a7763f28eab8255,,
234567890123,INFORMATIONAL,YES,PACKAGE_VULNERABILITY,CVE-2025-39587 - systemd,systemd is vulnerable to CVE-2025-39587. A remote attacker could exploit this to compromise the affected container image.,arn:aws:inspector2:eu-west-1:234567890123:finding/c711e5662ff6bd7523e3c4cfe7a31be6,2026-03-17T03:31:36.000Z,2026-03-30T03:31:36.000Z,2026-03-31T03:31:36.000Z,arn:aws:ecr:eu-west-1:234567890123:repository/feature-flags/sha256:f7a43c07915e80668c8f6b7ac53a94d4de25df126d22dce7543eeb8298ff508a,sha-c0a1d4e,eu-west-1,,Repository=feature-flags,systemd,245.4-4ubuntu3.20,245.4-4ubuntu3.22,Rebuild image with updated systemd package,/usr/lib/systemd/systemd.so,,173,Update systemd to 245.4-4ubuntu3.22,0.4,CVSS:3.1/AV:A/AC:H/PR:L/UI:R/S:U/C:N/I:H/A:L,ACTIVE,CVE-2025-39587,systemd,Amazon Linux,Informational,Amazon Linux-SA-2025-632,2026-03-12T03:31:36.000Z,,,0.2,CVSS:3.1/AV:A/AC:L/PR:H/UI:N/S:C/C:H/I:N/A:L,,,,,0.1,CVSS:3.1/AV:A/AC:L/PR:H/UI:N/S:C/C:H/I:N/A:H,,,AWS_ECR_CONTAINER_IMAGE,,,,,,,,,0.35438,NO,,,,,https://www.cve.org/CVERecord?id=CVE-2025-39587,Amazon Inspector container image scan,OS,,0,,,,,234567890123.dkr.ecr.eu-west-1.amazonaws.com/feature-flags,sha256:f7a43c07915e80668c8f6b7ac53a94d4de25df126d22dce7543eeb8298ff508a,,
234567890123,MEDIUM,NO,PACKAGE_VULNERABILITY,CVE-2023-8843 - krb5-libs,krb5-libs is vulnerable to CVE-2023-8843. A remote attacker could exploit this to compromise the affected container image.,arn:aws:inspector2:eu-west-1:234567890123:finding/267ff5f182c91c2bf6d7bd21d46c01ca,2026-04-28T19:29:36.000Z,2026-05-14T19:29:36.000Z,2026-05-17T19:29:36.000Z,arn:aws:ecr:eu-west-1:234567890123:repository/config-service/sha256:adadcc76105a86e63cedea39c8c0c5a218512e9b9dcc5d9f603562bcc5cfab6c,sha-54a6a32,eu-west-1,,Repository=config-service,krb5-libs,1.18.2-6,,None Provided,/usr/lib/krb5-libs/krb5-libs.so,,130,None Provided,5.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,ACTIVE,CVE-2023-8843,krb5-libs,Amazon Linux,Medium,Amazon Linux-SA-2023-662,2026-04-20T19:29:36.000Z,,,6.5,CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,,,,,6.1,CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:U/C:H/I:L/A:N,,,AWS_ECR_CONTAINER_IMAGE,,,,,,,,,0.8643,NO,,,,,https://www.cve.org/CVERecord?id=CVE-2023-8843,Amazon Inspector container image scan,OS,,0,,,,,234567890123.dkr.ecr.eu-west-1.amazonaws.com/config-service,sha256:adadcc76105a86e63cedea39c8c0c5a218512e9b9dcc5d9f603562bcc5cfab6c,,
234567890123,LOW,YES,PACKAGE_VULNERABILITY,CVE-2026-9283 - lodash,lodash is vulnerable to CVE-2026-9283. A remote attacker could exploit this to compromise the affected container image.,arn:aws:inspector2:ap-southeast-2:234567890123:finding/908f3e6925638b49e8404809e14bd122,2026-06-21T07:07:37.000Z,2026-07-13T07:07:37.000Z,2026-07-13T07:07:37.000Z,arn:aws:ecr:ap-southeast-2:234567890123:repository/shipping-service/sha256:d5622530b33e9b26fc5ff76c63afe4367b883894a351569245f9d77ac04e4682,v1.1.16,ap-southeast-2,,Repository=shipping-service,lodash,4.17.20,4.17.21,Rebuild image with updated lodash package,/app/node_modules/lodash/package.json,,77,Update lodash to 4.17.21,3.6,CVSS:3.1/AV:L/AC:H/PR:N/UI:R/S:C/C:H/I:H/A:H,ACTIVE,CVE-2026-9283,lodash,Ubuntu,Low,Ubuntu-SA-2026-999,2026-06-18T07:07:37.000Z,,,2.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:C/C:H/I:L/A:H,,,,,2.9,CVSS:3.1/AV:A/AC:H/PR:H/UI:R/S:U/C:N/I:L/A:L,,,AWS_ECR_CONTAINER_IMAGE,,,,,,,,,0.05251,NO,,,,,https://www.cve.org/CVERecord?id=CVE-2026-9283,Amazon Inspector container image scan,PYTHONPKG,,0,,,,,234567890123.dkr.ecr.ap-southeast-2.amazonaws.com/shipping-service,sha256:d5622530b33e9b26fc5ff76c63afe4367b883894a351569245f9d77ac04e4682,,
